2021-01-04 14:28:47 startup archives unpack
2021-01-04 14:28:47 upgrade python-apt-common:all 1.6.5ubuntu0.4 1.6.5ubuntu0.5
2021-01-04 14:28:47 status half-configured python-apt-common:all 1.6.5ubuntu0.4
2021-01-04 14:28:47 status unpacked python-apt-common:all 1.6.5ubuntu0.4
2021-01-04 14:28:47 status half-installed python-apt-common:all 1.6.5ubuntu0.4
2021-01-04 14:28:47 status half-installed python-apt-common:all 1.6.5ubuntu0.4
2021-01-04 14:28:47 status unpacked python-apt-common:all 1.6.5ubuntu0.5
2021-01-04 14:28:47 status unpacked python-apt-common:all 1.6.5ubuntu0.5
2021-01-04 14:28:47 startup packages configure
2021-01-04 14:28:47 configure python-apt-common:all 1.6.5ubuntu0.5 <none>
2021-01-04 14:28:47 status unpacked python-apt-common:all 1.6.5ubuntu0.5
2021-01-04 14:28:47 status half-configured python-apt-common:all 1.6.5ubuntu0.5
2021-01-04 14:28:47 status installed python-apt-common:all 1.6.5ubuntu0.5
2021-01-04 14:28:50 startup archives unpack
2021-01-04 14:28:51 upgrade python3-apt:amd64 1.6.5ubuntu0.4 1.6.5ubuntu0.5
2021-01-04 14:28:51 status half-configured python3-apt:amd64 1.6.5ubuntu0.4
2021-01-04 14:28:51 status unpacked python3-apt:amd64 1.6.5ubuntu0.4
2021-01-04 14:28:51 status half-installed python3-apt:amd64 1.6.5ubuntu0.4
2021-01-04 14:28:51 status half-installed python3-apt:amd64 1.6.5ubuntu0.4
2021-01-04 14:28:51 status unpacked python3-apt:amd64 1.6.5ubuntu0.5
2021-01-04 14:28:51 status unpacked python3-apt:amd64 1.6.5ubuntu0.5
2021-01-04 14:28:51 startup packages configure
2021-01-04 14:28:51 configure python3-apt:amd64 1.6.5ubuntu0.5 <none>
2021-01-04 14:28:51 status unpacked python3-apt:amd64 1.6.5ubuntu0.5
2021-01-04 14:28:51 status half-configured python3-apt:amd64 1.6.5ubuntu0.5
